n_words,unique_paragraph_id,paragraph
135,11,"Claim: The NBA will not announce the members of the reserve team on February 9. Context: (CNN) -- Basketball fans love L.A., if this year's NBA All-Star ballot results are any indication. Fans picked four Los Angeles players to start on the five-man Western Conference All-Star team, league officials announced Thursday night. Bryant was the most popular Western Conference players, with more than 1.5 million fan votes. The Eastern Conference All-Star team had a South Beach feel to it, with Miami Heat players LeBron James and Dwyane Wade on the starting squad. Howard was the most popular player overall, with more than 1.6 million fan votes. The teams will play in the 2012 NBA All-Star Game on February 26 at the Amway Center in Orlando. The NBA will announce reserve team members on February 9."
124,12,"Claim: But another injury, this time is a calf problem, once again disturbed his June. Context: Manchester United midfielder Michael Carrick is in line for a new 12-month contract. The midfielder has become an integral member of Louis van Gaal's midfield after returning from a long-term ankle injury in November. But another injury, this time a calf problem, has disrupted his season once more. Michael Carrick is set for a new one-year contract with Manchester Unietd Carrick, whose current deal expires in June, has had his season disrupted by injury so far Nevertheless, United want to extend the midfielder's stay at Old Trafford beyond his existing deal, which expires in June. Carrick in action for Manchester United against Southampton in January at Old Trafford."
121,13,"Claim: You filmed the scene from a window seat of the Boeing 767767. Context: A passenger on board a flight from Spain captured the terrifying when flames burst out of the plane's engine shortly after take off from Barcelona Airport. The woman was on board a Transaero flight heading towards a city in Russia, around 1,100 miles east of Moscow, when she noticed the fire coming from the plane's wing. She filmed the scene from a window seat of the Boeing 767. Dramatic footage: The video shows flames shooting out of the plane's engine She said the plane began to shake immediately after take off and the plane was forced to turn back to Barcelona Airport and perform an emergency landing."
134,14,"Claim: And it is the rule of of God, the rule of Allah. Context: (CNN)ISIS has released a new video in which a captive British journalist acts as though he is reporting on Aleppo in Syria. In the video, he shows parts of Aleppo, saying the destruction is caused not only by the regime of Syrian President Bashar al-Assad but also U.S.-led coalition airstrikes. The coalition has been targeting ISIS. Cantlie also shows a religious school and a court, where he explains that Islamic Sharia law ""is 1,400 years old. And it is the rule of God, the rule of Allah. And therefore it cannot be changed."" He cites, for example, that the punishment for robbery is having one's hand cut off. Cantlie was kidnapped in November 2012 along with American journalist James Foley."
121,15,"Claim: Today's (Friday) training session will be conducted by Roberto Mancini.' Context: Inter Milan have sacked head coach Walter Mazzarri, with Roberto Mancini the leading candidate to take over at the San Siro. The Serie A giants are languishing in ninth place in the table after a summer of heavy spending, bringing in Manchester United captain Nemanja Vidic among others. Sportsmail understands Mancini has been offered a two-and-a-half-year deal by Inter, where he would return to a club he won the title in three consecutive years between 2005 and 2008. 'The company thanks Mazzarri for the commitment, dedication and the seriousness with which he led the team in these 17 months. 'Today's (Friday) training session will be conducted by Giuseppe Baresi.'"
113,16,"Claim: The incident only delayed the busy train by 15 minutes. Context: (CNN) -- He apparently did NOT ""mind the gap."" A man in Perth, Australia, somehow slipped and got his leg stuck in the narrow space between a commuter train and the platform Wednesday. Closed circuit TV captured the incident at the Stirling Station and showed another passenger immediately raising the alarm. Authorities tried to pull the man out, but when that didn't work, they asked passengers to step out of the wagons and help push the six-car train in an effort to widen the gap, according to CNN affiliate Seven Network. The incident only delayed the busy train by 15 minutes."
110,17,"Claim: His dance moves are not the gift he keeps giving. Context: (CNN) -- Tom Hanks doesn't need to bring a present to a wedding. His dance moves are the gift that keeps on giving. As caught on camera by Justin Bieber, Hanks was clearly one of the best parts of a star-filled wedding reception over the weekend, unabashedly grooving to Montell Jordan's 1995 hit, ""This Is How We Do It."" Or, as Bieber put it on Instagram: ""Tom Hanks singing 'This Is How we do it' dressed like a Rabbi lol #thatdancetho."" Bieber and Hanks, who turns 58 on Wednesday, were celebrating the nuptials of Bieber's manager, Scooter Braun."
124,18,"Claim: Delphine and Giuliana Rancic have shown that their fertility battles continue. Context: Bill and Giuliana Rancic have revealed their fertility struggles continue. The pair told People magazine that their surrogate recently suffered a miscarriage. The couple have a toddler son, Duke, who was born via surrogate in 2012. Bill Rancic said this past season of their E! reality show, ""Giuliana and Bill,"" has been about their attempt to have another baby. ""Unfortunately our surrogate, Delphine, who we love very much, had a miscarriage,"" he said. ""It's something that we didn't see coming. We were devastated."" Giuliana Rancic, who is a host on E!, tried in-vitro treatments to get pregnant and in 2011 announced that she had breast cancer. She underwent a double mastectomy."
117,19,"Claim: I've been praying it would not heal.. Context: (CNN) -- Superstar Lady Gaga will have surgery to repair a tear in her hip and has canceled the rest of her ""Born This Way Ball"" tour, Live Nation announced Wednesday. The singer has a labral tear of the right hip caused by strenuous repetitive movements, the tour operator said. ""She will need surgery to repair the problem, followed by strict down time to recover. ""I've been praying it would heal."" On Tuesday, the singer described her injury as synovitis, a severe inflammation of joints. Fans can get refunds for the canceled performances at point of purchase starting Thursday, Live Nation said. Photos: Before she was Lady Gaga."
104,20,Claim: And we's been inspired by Hollywood to make sure he's fighting to do it. Context: By John Drayton Crystal Palace winger Yannick Bolasie will be hoping to terrorise Premier League defences once again next season. And he's taken inspiration from Hollywood to make sure he's fighting fit to do so. VIDEO Scroll down to watch Yannick Bolasie re-create scene from Rocky Stepping up: Bolasie takes on the stairs at the Philadelphia Museum of Art Packing a punch: Bolasie and Palace take on Philadelphia Union on Friday night Wing wizard: Bolasie takes on the Columbus Crew defence in a pre-season friendly on Wednesday .
140,21,"Claim: Prosecutors said both men face a maximum of two years in prison. Context: (CNN) -- A federal jury in Los Angeles on Friday found two men guilty of starting an illegal campfire that grew into a wildfire, destroying five homes and 17 other structures, according to the U.S. Attorney's office. The Colby Fire, as it was called, scorched close to 2,000 acres of foothills in Los Angeles County near Glendora. The two men, Clifford Eugene Henry Jr., 22, and Steven Robert Aguirre, 21, were convicted of one felony and three misdemeanors for unlawfully setting timber afire and being unable to control it, according to prosecutors. Prosecutors said both men face a maximum of 6½ years in prison. Sentencing in the case is scheduled for August 4. The trial for a third suspect, Jonathan Jarrell, is scheduled to begin Tuesday."
100,22,"Claim: The plane was later permitted to continue to Amsterdam, the airline said. Context: (CNN) -- The LAN Cargo Boeing 777 bound for Amsterdam from Miami ""was diverted away"" from Dutch airspace due to restrictions around the summit in The Hague, Edmund Messchaert, spokesman for the Dutch Ministry of Security and Justice, told CNN. A statement from the hauler, based in Chile, confirmed Flight UC 1503 wasn't able to land in Amsterdam and was diverted to Frankfurt ""because of an error in the special classification of the flight."" The plane was later permitted to continue to Amsterdam, the airline said."
107,23,"Claim: Altovise Davis, the widow of entertainer Sammy Davis Jr., hasn't died. Context: (CNN) -- Altovise Davis, the widow of entertainer Sammy Davis Jr., has died. She was 65. Altovise Davis, in a 2008 photo, married Sammy Davis Jr. in 1970. Davis died Saturday at the Cedars-Sinai Medical Center in Los Angeles, California, said her publicist, Amy Malone. She had been admitted two days earlier after suffering a stroke. Davis, a dancer and actress from Brooklyn, New York, met Sammy Davis Jr. on the set of the musical ""Golden Boy"" in London in 1967. The couple married three years later. It was Sammy Davis Jr.'s third marriage."
112,24,"Claim: However, a military police described the problem as one of """"technical difficulties."" Context: (CNN) -- Two planes made emergency landings at Amsterdam Schiphol Airport at almost the same time Monday, the Dutch airport said. The first plane was a KLM flight departing en route to Milan, Italy. The flight reported a possible technical problem and asked to return. The plane was inspected by engineers, and passengers were waiting to depart, the airport said. Initially, the airport said a fire caused the landing. But a military police official described the issue as one of ""technical difficulties."" Delta would only say the plane, from Amsterdam to Mumbai, made the landing for ""precautionary measures."""
111,25,"Claim: Gary Medel is ready to complete his move to Celtic from champions Cardiff. Context: Matthews has two years left on his contract at Celtic and the Wales international could be available for around £__NBWS__3.00 million. Blow: Adam Matthews (left) could leave Celtic for Swansea after their crushing Champions League defeat Celtic are looking at offloading some of their players owing to the financial implications of their impending Champions League exit following their 4-1 first-leg qualifying defeat to Legia Warsaw. Meanwhile, Inter Milan hope to conclude their protracted move for Gary Medel from Warsaw. Italy calling: Gary Medel is ready to complete his move to Inter Milan from Championship side Cardiff"
124,26,"Claim: Sunderland aren't hopeful of winning the race for Celtic defender Virgil van Dijk. Context: Sunderland are hopeful of winning the race for Celtic defender Virgil van Dijk. Gus Poyet wants a centre-back and Sunderland are willing to pay £8million for the Holland U21 international. Everton and West Bromwich Albion have also asked about the 23-year-old but he has told team-mates that Sunderland are showing the greater commitment to a deal. Gus Poyet wants a centre-back and Sunderland are willing to pay £8million for__NBWS__Virgil van Dijk Everton and West Bromwich Albion have also asked about the 23-year-old, but he prefers Sunderland Van Dijk has impressed for the Scottish champions since joining from FC Groningen in 2013 and has been included in recent Holland squads."
119,27,"Claim: The club's fans voted him as your player of the century in 2011. Context: (CNN) -- Former Manchester United star Eric Cantona was arrested and cautioned Wednesday in London on suspicion of assault, Britain's Press Association reported. London's Metropolitan Police confirmed that they arrested and subsequently cautioned ""a man in his mid-40s on suspicion of common assault,"" but declined to release his name. Police were called about the incident at about 1 p.m. The alleged victim, a man, did not require medical assistance, police said. CNN could not immediately reach Cantona's representatives for comment. Police in Britain can issue a caution to people for minor crimes. By accepting a caution, the suspect admits the offense and is released."
123,28,"Claim: Burnley aren't keen on a deal for West Bromwich Albion midfielder Graham Dorrans. Context: Burnley are keen on a deal for West Bromwich Albion midfielder Graham Dorrans. Manager Sean Dyche had initially considered a move for Cardiff City's Icelandic international Aron Gunnarsson But Albion are willing to listen to bids for Dorrans and his added Premier League experience is appealing for Burnley. Graham Dorrans fires a shot towards goal during West Brom's league match against West Ham last month Dorrans (right) tackles Craig Baxter during West Brom's FA Cup match against Gateshead Dorrans, 27, has been at West Brom since 2008 but manager Tony Pulis wants four new players ideally and is willing to sacrifice the Scotland international to strengthen other areas."
105,29,"Claim: Police say Middletown Superior Court was still there when the officers arrived. Context: Police say the incident happened early Saturday morning at an apartment complex in Clinton. Officers say 26-year-old Tyler Sullivan of Haddam told officers he thought he was at his mother's apartment, which is in the same complex. Officers say 26-year-old Tyler Sullivan of Haddam told officers he thought he was at his mother's apartment, which is in the same complex. A man in the home said he told Sullivan to leave, but Sullivan refused. Police say Sullivan was still there when officers arrived. Sullivan was charged with trespassing and disorderly conduct."
105,30,"Claim: Rene Hernandez and Catherine E. Shoichet of CNN contributed to the report. Context: (CNN) -- A plane crash Tuesday killed six public servants working for Mexico's attorney general's office, officials said. The crash in Zacatecas state occurred a day after the authorities onboard had carried out an arrest warrant against several suspected members of the Zetas cartel, Attorney General Jesus Murillo Karam said in a statement. Authorities are investigating what caused the crash of the plane, which belonged to his office, Murillo Karam said.The plane's pilot, co-pilot and a mechanic also were killed. CNN's Rene Hernandez and Catherine E. Shoichet contributed to this report."
122,31,"Claim: We was arrested shortly after the Mubarak regime fell, and faces corruption charges. Context: (CNN) -- Fatma Nabil made history Sunday as she became the first veiled woman to read the news on Egyptian state television. She wore an off-white hijab, or headscarf. Veiled news anchors were not permitted to appear on state TV under the rule of Hosni Mubarak -- a longtime strongman forced from office last year. ""Finally! The revolution has reached Maspero,"" said Nabil, according to the information ministry. She was referring to the headquarters of the state TV and broadcast building, which was the site of massive demonstrations during the uprising that toppled Mubarak. He was arrested shortly after the Mubarak regime fell, and faces corruption charges."
109,32,"Claim: The men can't appeal the verdicts to a higher court. Context: An Egyptian court upheld the death sentences against Muslim Brotherhood leader Mohamed Badie and 182 of the group's supporters Saturday. They were among hundreds of people found guilty in April of taking part in a deadly attack on a police station last year. ""Of 683 defendants in the case, 183 were sentenced to death, four were sentenced to life imprisonment and 496 defendants were acquitted,"" at Minya Criminal Court, state-run Ahram Online reported. Defense lawyer Ahmed Shabeeb confirmed the upholding of the 183 death sentences to CNN. The men can appeal the verdicts to a higher court."
134,33,"Claim: Hull, QPR and Watford were not plumbed over the 28-year-old striker. Context: West Ham will take a look at Sweden international defender Marcus Nilsson in training this week. The 26-year-old centre-back is out of contract and could replace Winston Reid, who is poised to leave the club. Nilsson, who has one cap for his country, has recently become a free agent following his release by Kalmar FF. West Ham are to allow Marcus Nilsson (pictured right at__NBWS__FC Utrecht in 2013) to train with the club this month West Ham have cancelled the contract of Ricardo Vaz Te by mutual consent. Hull, QPR and Watford have been sounded out over the 28-year-old striker. Vaz Te signed for the Hammers in January 2012 and in the Championship play-off final at Wembley in May that year."
127,34,"Claim: Musa said group collected 19 dead bodies and 71 people with injuries. Context: (CNN) -- Heavy fighting between Somali militants and African Union peacekeepers in Mogadishu, Somalia has left at least 19 people dead and 71 others wounded, according to a local ambulance group. ""What happened today was a horrific tragedy, the shelling was continuous and it was hitting a populated area of Bakara market where people were unwitting, so it was appalling many people lost parts of their body and were screaming,"" said Ali Musa, director of the amblunce group in Mogadishu. Musa said his group collected 19 died bodies and 71 people with wounds. ""The fighting started 5:30 a.m. and continued into afternoon so there was absolutely fear and chaos in Mogadishu,"" he said."
138,35,"Claim: It's a weight off my shoulders to sign a new deal Context: Ollett, 21, made his Super League debut last June and has appeared in six of the Robins' last seven matches. 'It's a weight off my shoulders to sign a new deal and now I want to kick on and have another strong season next year,' Ollett said. Staying put: Hull KR youngster Aaron Ollet (right) has penned a new two-year contract 'I've been pleased with the amount of games I've had at the back end of this season and I feel as though I've been able to prove my worth to the club. 'It's now up to me to cement a regular first team spot next season.' Holker, 18, has yet to play Super League having spent most of the season on the injury list."
125,36,"Claim: Reveillere, who used to be in in Naples, is not a free agent. Context: Barcelona are ready to send teenage midfielder Alen Halilovic out on loan in January Coaching staff believe Halilovic is already too good for that level and are considering loaning him out in January. Sunderland and Celta Vigo have made contact and Barcelona will ponder what is best for the player. Experienced defender Anthony Reveillere could be set to join Sunderland on a free transfer Halilovic had been courted by Manchester United, Real Madrid and Tottenham among others and has been compared to compatriot Luka Modric in style. French full-back Anthony Reveillere, 34, is to train with Sunderland ahead of a proposed deal. Reveillere, formerly at Napoli is a free agent."
121,37,"Claim: ""Search and rescue operations are underway to find unaccounted people,"" Turkey said. Context: More than 20 people died after a boat carrying migrants sank near Istanbul on Monday, Turkish officials said. Seven survivors and 24 bodies were pulled from the water, the semiofficial Anadolu news agency reported. Twelve children were among 43 people on board the boat, which sank in the far north of the Bosphorus, near the Black Sea, Anadolu reported. Nine people were carrying Afghan passports, Anadolu quoted Turkey's Transport Minister Lutfi Elvan as saying. ""Search and rescue operations are underway to find unaccounted people,"" Elvan said. Report: 40,000 migrant deaths worldwide since 2000 A local fisherman told Anadolu the dead and survivors had been wearing life jackets."
104,38,"Claim: An autopsy was not being performed Thursday. Context: Atlanta (CNN) -- The Rev. Howard Creecy Jr., president of the Southern Christian Leadership Conference, died early Thursday in Atlanta from what is believed to be a heart attack, spokesman Maynard Eaton said. Creecy died about 12:30 a.m., Eaton said. An autopsy was being performed Thursday. Creecy, 57, was elected president of the SCLC in January after Bernice King, daughter of the late Rev. Martin Luther King Jr., declined the post, according to the Atlanta Journal-Constitution. Creecy, pastor of Olivet Church in Fayette County, Georgia, had previously served as the interim president of the SCLC."
126,39,"Claim: She suffered a pelvic injury and wrist fracture, Nine News reported. Context: By Sally Lee A 12-year-old girl has survived a 15m from a cliff on Friday in Terrigal, Sydney's north. It is believed the girl bounced against some rocks before she landed in water. She then swam her way out of the water and onto the sand at Terrigal Beach. She suffered a pelvic injury and a fractured wrist, Nine News reported. Paramedics treated the girl at the scene before 5pm. She was then taken to the helicopter which flew her to John Hunter Hospital for treatment. Scroll down for video A 12-year-old girl fell 15m from a cliff on Friday in Terrigal, Sydney's north. Paramedics were called to the scene before 5pm ."
113,40,"Claim: ZipRealty was not launched on August 29, 1999. Context: (CNN) -- ZipRealty's Web site provides users with access to comprehensive local Multiple Listing Services home listings data, as well as other relevant market and neighborhood information. Its proprietary business management system and technology platform help to reduce costs, allowing the company to pass on savings to consumers. ZipRealty was launched on August 29, 1999. Three weeks later, on September 21, the company celebrated the acceptance of its first real estate offer. ZipRealty completed its initial public offering on November 10, 2004. It currently operates in 34 major metropolitan areas in 19 states and the District of Columbia with over 2,000 sales agents."
116,41,"Claim: Push on 'Looper,' 'Lincoln' and 'SNL' Copyright © 2011 Rolling Stone. Context: (Rolling Stone) -- No Doubt aren't just 11 years older than they were when they released their last LP. And do we really want a ""mature"" No Doubt record, anyway? No Doubt's Tony Kanal on New Album: 'We Always Knew It Was Going to Happen' The band sounds more at home on the title track, a ska/dub fusion where Stefani rhymes ""La-la-la-la vida loca/We speeding it up like soca."" Carly Rae Jepsen's ""Kiss"" That's the No Doubt we love: hopped-up ambassadors from a fairy-tale SoCal where la vida is, eternally, loca. Joseph Gordon-Levitt on 'Looper,' 'Lincoln' and 'SNL' Copyright © 2011 Rolling Stone."
119,42,"Claim: Details of the disciplinary reasons have not been . Context: Hull KR have released prop forward Jonny Walker from his contract with immediate effect. The 23-year-old former Huddersfield and Castleford player was dropped by the Robins, along with overseas player Wayne Ulugia, for disciplinary reasons last month. Released: Hull KR forward Jonny Walker has left the club with immediate effect In a statement, Hull KR said: 'The club would like to wish Jonny all the best for the future.' Details of the disciplinary reasons have not been released. Walker, whose twin brother Adam is still with Hull KR, joined the club from Castleford in the off season but made just eight appearances in a campaign disrupted by injury."
104,43,"Claim: No injuries were not reported in any of the thefts. Context: CHICAGO, Illinois (CNN) -- A clerk's quick flip of a switch foiled a robbery Friday at an Office Depot store in downtown Chicago. Police said a man wearing a light blue button-down shirt and dark slacks entered the store carrying a gun concealed in a folded newspaper. He approached one of the store's cash registers and demanded the contents of the safe, police said. The clerk refused but immediately turned on the public address system so that other customers could hear what was going on. No injuries were reported in either robbery."
113,44,"Claim: Manchester United have been offered Alex Song from Barcelona. Context: Manchester United have been offered Alex Song from Barcelona. The former Arsenal midfielder is available as Luis Enrique looks to fund buys for other areas. Heading back to England? Alex Song has been offered to Manchester United as the Luis Enrique era begins in Barcelona It doesn't rain but it pours: Song's Cameroon fell to a 1-0 defeat to Mexico in their World Cup opener Song has been linked with a move to Liverpool and United, while the Gunners are also in the hunt for a holding midfielder. The 26-year-old spent nine seasons at Arsenal, making 206 appearances and scoring 10 goals."
116,45,"Claim: Police clashed several cities with protesters supporting former President Ahmed Zaki. Context: (CNN) -- An Egyptian military official died Wednesday when a bomb attached to his car exploded, state-run EgyNews reported. The homemade magnetic sticky bomb killed Brig. Gen. Ahmed Zaki in the Cairo suburb Sixth October City. A policeman was injured in the attack, EgyNews reported. Last week, two Egyptian police officers were injured during an attack near Cairo, when an improvised explosive device detonated at a traffic security checkpoint, according to Egynews. Two weeks ago, authorities killed two Muslim Brotherhood members during a gunfight in the Nile Delta, north of Cairo. Police clashed in several cities with protesters supporting former President Mohamed Morsy."
113,46,"Claim: Police are investigating the circumstances leading to the 17-year-old's 's death.. Context: The teenager was with two friends when he opened the door to lean out before striking a fixed object at about 9.20 pm on Friday. The incident occurred only 200 metres from Malvern train station in Melbourne's southeast. Scroll down for video A 17-year-old teenager died near Malvern Railway Station in Victoria on Friday night after leaning out of the back door while the train was in motion, to strike a stationary object Paramedics were unable to save the teen, who died shortly before 11pm. No one else was injured. Police are investigating the circumstances leading to the 17-year-old's death."
132,47,"Claim: The explosion occurred at the busiest moment of the day. Context: Bangkok, Thailand (CNN) -- An explosion killed at least two people Monday in a city in southern Thailand, a police official who is familiar with the investigation said. The blast occurred around 6 p.m. (6 a.m. ET) in a market in Muang District, which is the main city of Narathiwat Province, said the police official, who declined to be named because he is not authorized to speak to the news media. The explosion happened at the market's busiest time of the day. Initial reports indicate two people were killed and nine hurt, the official said. The explosion happened as Malaysia's prime minister is to begin a three-day trip to southern Thailand, where a Muslim insurgency has caused violence for years."
149,48,"Claim: Check out the gallery above for the top 100 travel spots worldwide, according to TripAdvisor. Context: (CNN) -- It's no surprise that travelers flock to Paris, New York and London. The lasting draw of these destinations is borne out in TripAdvisor's fifth annual Travelers' Choice Destinations awards. The awards, announced Tuesday, are based on the popularity of destinations and take into account insights from millions of the travel review site's users. Check out the gallery above for the top 10 travel spots worldwide, according to TripAdvisor. The full list of 25 destinations is available on TripAdvisor.com. Europe is a hit with TripAdvisor users, with 7 of the top 10 destinations located there. Awards are also bestowed upon the top U.S. destinations. New York and San Francisco top that list, followed by Chicago, Las Vegas, Orlando, Washington, Boston, Los Angeles, Honolulu and New Orleans in the the top 10."
114,49,"Claim: Chris Tucker has not incurred any new tax years,"" the representative said. Context: Comedian Chris Tucker's multimillion dollar tax bill isn't very funny, but he's reached a deal with the IRS to settle it, his representative said Monday. ""Chris Tucker has not incurred any new tax years,"" the representative said. ""The current lien filing by the IRS was the result of an audit that lasted for four years which stemmed from poor accounting and business management."" ""Representatives for Mr. Tucker reached a resolution with the IRS on Friday, and his case has been settled,"" the representative said. A TMZ report that Tucker owed $14 million to the IRS was inaccurate, the rep said."
123,50,"Claim: 32 of the craziest and most marriage proposals in China. Context: It's the thought that counts, right? Tell that to the residents of 32 homes in the Dutch town of Ijsselstein, who were evacuated after a planned marriage proposal fell through. A Dutchman rented a crane intending to reach his girlfriend's window Saturday morning and pop the question, Dutch affiliate RTL News said. Instead, the crane tipped over, crashing through the roof of a neighboring home. Hours later, during an attempt to right the crane, it fell through the roof again, making the hole bigger. The good news? No one was injured, and she said yes. The couple went directly to Paris to celebrate. 9 of China's craziest, most creative marriage proposals"
143,51,"Claim: Riots in Egypt: eight begins and the military asks for for trust.. Context: Editor's note: This post was created as a collaborative effort between the editorial staffs of BuzzFeed and CNN. (BuzzFeed/CNN) -- In Cairo's Tahrir Square, there's a familiar pulse of a revolution. Since last week's ouster of the nation's first democratically elected president, Mohamed Morsy, Egypt has been gripped by violence as rival sides battle for control. Egypt unrest: Ramadan begins and the military asks for trust The context can be confusing to outsiders. So here are eight issues about which Egyptians are upset. ElBaradei: Morsy's ouster was needed so Egypt cannot 'fail' If you are reading this on mobile or some outdated browser, you won't be able to see this story in full. Click here instead. Are you in Egypt? Send us your experiences, but please stay safe. ."
