metric_type,metric_name,eval_type,data_task,model,eval_regime,fold,n_folds,fold_list,n_samples,n_unique_y_true,n_unique_y_pred,y_true_single,y_pred_single,y_true_distribution,y_pred_distribution,extra_classes_in_y_pred,score
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,3,1,[3],1602,2,2,False,False,"{1: 1305, 0: 297}","{1: 1429, 0: 173}",,0.5143155694879833
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,4,1,[4],1590,2,2,False,False,"{1: 1301, 0: 289}","{1: 1428, 0: 162}",,0.5138594480157664
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,5,1,[5],1710,2,1,False,True,"{1: 1330, 0: 380}",{0: 1710},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,6,1,[6],1505,2,2,False,False,"{1: 1223, 0: 282}","{1: 1264, 0: 241}",,0.5149295709306844
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,7,1,[7],1614,2,2,False,False,"{1: 1286, 0: 328}","{1: 1141, 0: 473}",,0.5208080453666123
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,8,1,[8],1500,2,1,False,True,"{1: 1198, 0: 302}",{1: 1500},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,9,1,[9],1619,2,1,False,True,"{1: 1265, 0: 354}",{0: 1619},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7774,2,2,False,False,"{1: 6319, 0: 1455}","{1: 5589, 0: 2185}",,0.5427209381622761
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7774,2,2,False,False,"{1: 6316, 0: 1458}","{1: 5548, 0: 2226}",,0.5179466697246351
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",972,2,2,False,False,"{1: 780, 0: 192}","{1: 697, 0: 275}",,0.495713141025641
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,0,1,[0],1080,2,2,False,False,"{1: 913, 0: 167}","{1: 1078, 0: 2}",,0.5059880239520959
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,1,1,[1],971,2,1,False,True,"{1: 808, 0: 163}",{1: 971},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,2,1,[2],810,2,2,False,False,"{1: 668, 0: 142}","{1: 643, 0: 167}",,0.4902800033735346
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,3,1,[3],810,2,2,False,False,"{1: 659, 0: 151}","{1: 719, 0: 91}",,0.49200574822377874
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,4,1,[4],918,2,2,False,False,"{1: 697, 0: 221}","{1: 842, 0: 76}",,0.5020968987970422
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,5,1,[5],702,2,1,False,True,"{1: 579, 0: 123}",{0: 702},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,6,1,[6],810,2,2,False,False,"{1: 646, 0: 164}","{1: 700, 0: 110}",,0.506607264215057
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,7,1,[7],702,2,2,False,False,"{1: 549, 0: 153}","{1: 507, 0: 195}",,0.5104468016714883
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,8,1,[8],863,2,1,False,True,"{1: 655, 0: 208}",{1: 863},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,9,1,[9],1080,2,1,False,True,"{1: 936, 0: 144}",{0: 1080},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,0,1,[0],851,2,2,False,False,"{1: 713, 0: 138}","{1: 849, 0: 2}",,0.49859747545582045
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,1,1,[1],864,2,1,False,True,"{1: 699, 0: 165}",{1: 864},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,2,1,[2],882,2,2,False,False,"{1: 716, 0: 166}","{1: 703, 0: 179}",,0.5085733997442283
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,3,1,[3],882,2,2,False,False,"{1: 722, 0: 160}","{1: 707, 0: 175}",,0.4818819252077562
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,4,1,[4],870,2,2,False,False,"{1: 700, 0: 170}","{1: 821, 0: 49}",,0.4905882352941176
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,5,1,[5],893,2,1,False,True,"{1: 725, 0: 168}",{0: 893},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,6,1,[6],882,2,2,False,False,"{1: 702, 0: 180}","{1: 812, 0: 70}",,0.5024928774928775
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,7,1,[7],894,2,2,False,False,"{1: 715, 0: 179}","{1: 653, 0: 241}",,0.4711724030159784
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,8,1,[8],876,2,1,False,True,"{1: 706, 0: 170}",{1: 876},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,9,1,[9],852,2,1,False,True,"{1: 712, 0: 140}",{0: 852},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,0,1,[0],120,2,1,False,True,"{1: 93, 0: 27}",{1: 120},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,1,1,[1],108,2,1,False,True,"{1: 94, 0: 14}",{1: 108},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,2,1,[2],90,2,2,False,False,"{1: 72, 0: 18}","{1: 64, 0: 26}",,0.4583333333333333
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,3,1,[3],90,2,2,False,False,"{1: 75, 0: 15}","{1: 67, 0: 23}",,0.5066666666666667
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,4,1,[4],102,2,2,False,False,"{1: 78, 0: 24}","{1: 101, 0: 1}",,0.5208333333333334
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,5,1,[5],78,2,1,False,True,"{1: 58, 0: 20}",{0: 78},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,6,1,[6],90,2,2,False,False,"{1: 71, 0: 19}","{1: 84, 0: 6}",,0.5244625648628614
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,7,1,[7],78,2,2,False,False,"{1: 59, 0: 19}","{1: 57, 0: 21}",,0.4264049955396967
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,8,1,[8],96,2,1,False,True,"{1: 78, 0: 18}",{1: 96},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,9,1,[9],120,2,1,False,True,"{1: 102, 0: 18}",{0: 120},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,0,1,[0],2051,2,2,False,False,"{1: 1719, 0: 332}","{1: 2047, 0: 4}",,0.5024303146267444
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,1,1,[1],1943,2,1,False,True,"{1: 1601, 0: 342}",{1: 1943},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,2,1,[2],1782,2,2,False,False,"{1: 1456, 0: 326}","{1: 1410, 0: 372}",,0.49802172520730803
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,3,1,[3],1782,2,2,False,False,"{1: 1456, 0: 326}","{1: 1493, 0: 289}",,0.4871043450414616
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,4,1,[4],1890,2,2,False,False,"{1: 1475, 0: 415}","{1: 1764, 0: 126}",,0.4989707984480294
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,5,1,[5],1673,2,1,False,True,"{1: 1362, 0: 311}",{0: 1673},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,6,1,[6],1782,2,2,False,False,"{1: 1419, 0: 363}","{1: 1596, 0: 186}",,0.5053815106669229
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,7,1,[7],1674,2,2,False,False,"{1: 1323, 0: 351}","{1: 1217, 0: 457}",,0.4859003430432002
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,8,1,[8],1835,2,1,False,True,"{1: 1439, 0: 396}",{1: 1835},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,all,9,1,[9],2052,2,1,False,True,"{1: 1750, 0: 302}",{0: 2052},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,seen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8746,2,2,False,False,"{1: 7110, 0: 1636}","{1: 6323, 0: 2423}",,0.4796090254780794
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_seen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",8746,2,2,False,False,"{1: 7110, 0: 1636}","{1: 6285, 0: 2461}",,0.48971892956990914
Discriminative,balanced_accuracy,test,OneStop_RC,AhnCNN,unseen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",972,2,2,False,False,"{1: 780, 0: 192}","{1: 697, 0: 275}",,0.49246794871794874
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,0,1,[0],960,2,1,False,True,"{1: 828, 0: 132}",{1: 960},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,1,1,[1],960,2,1,False,True,"{1: 807, 0: 153}",{1: 960},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,2,1,[2],863,2,1,False,True,"{1: 724, 0: 139}",{1: 863},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,3,1,[3],720,2,1,False,True,"{1: 592, 0: 128}",{1: 720},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,4,1,[4],720,2,1,False,True,"{1: 583, 0: 137}",{1: 720},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,5,1,[5],816,2,1,False,True,"{1: 618, 0: 198}",{0: 816},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,6,1,[6],624,2,1,False,True,"{1: 516, 0: 108}",{1: 624},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,7,1,[7],720,2,1,False,True,"{1: 579, 0: 141}",{1: 720},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,8,1,[8],624,2,1,False,True,"{1: 489, 0: 135}",{0: 624},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,9,1,[9],767,2,1,False,True,"{1: 583, 0: 184}",{0: 767},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,0,1,[0],732,2,1,False,True,"{1: 607, 0: 125}",{1: 732},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,1,1,[1],743,2,1,False,True,"{1: 620, 0: 123}",{1: 743},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,2,1,[2],774,2,1,False,True,"{1: 632, 0: 142}",{1: 774},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,3,1,[3],792,2,1,False,True,"{1: 641, 0: 151}",{1: 792},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,4,1,[4],780,2,1,False,True,"{1: 643, 0: 137}",{1: 780},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,5,1,[5],792,2,1,False,True,"{1: 634, 0: 158}",{0: 792},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,6,1,[6],803,2,1,False,True,"{1: 649, 0: 154}",{1: 803},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,7,1,[7],804,2,1,False,True,"{1: 636, 0: 168}",{1: 804},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,8,1,[8],798,2,1,False,True,"{1: 650, 0: 148}",{0: 798},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,9,1,[9],756,2,1,False,True,"{1: 604, 0: 152}",{0: 756},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,0,1,[0],120,2,1,False,True,"{1: 102, 0: 18}",{1: 120},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,1,1,[1],120,2,1,False,True,"{1: 93, 0: 27}",{1: 120},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,2,1,[2],108,2,1,False,True,"{1: 94, 0: 14}",{1: 108},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,3,1,[3],90,2,1,False,True,"{1: 72, 0: 18}",{1: 90},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,4,1,[4],90,2,1,False,True,"{1: 75, 0: 15}",{1: 90},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,5,1,[5],102,2,1,False,True,"{1: 78, 0: 24}",{0: 102},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,6,1,[6],78,2,1,False,True,"{1: 58, 0: 20}",{1: 78},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,7,1,[7],90,2,1,False,True,"{1: 71, 0: 19}",{1: 90},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,8,1,[8],78,2,1,False,True,"{1: 59, 0: 19}",{0: 78},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,9,1,[9],96,2,1,False,True,"{1: 78, 0: 18}",{0: 96},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,0,1,[0],1812,2,1,False,True,"{1: 1537, 0: 275}",{1: 1812},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,1,1,[1],1823,2,1,False,True,"{1: 1520, 0: 303}",{1: 1823},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,2,1,[2],1745,2,1,False,True,"{1: 1450, 0: 295}",{1: 1745},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,3,1,[3],1602,2,1,False,True,"{1: 1305, 0: 297}",{1: 1602},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,4,1,[4],1590,2,1,False,True,"{1: 1301, 0: 289}",{1: 1590},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,5,1,[5],1710,2,1,False,True,"{1: 1330, 0: 380}",{0: 1710},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,6,1,[6],1505,2,1,False,True,"{1: 1223, 0: 282}",{1: 1505},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,7,1,[7],1614,2,1,False,True,"{1: 1286, 0: 328}",{1: 1614},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,8,1,[8],1500,2,1,False,True,"{1: 1198, 0: 302}",{0: 1500},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,all,9,1,[9],1619,2,1,False,True,"{1: 1265, 0: 354}",{0: 1619},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,seen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7774,2,2,False,False,"{1: 6319, 0: 1455}","{1: 5567, 0: 2207}",,0.543939539783199
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_seen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7774,2,2,False,False,"{1: 6316, 0: 1458}","{1: 5428, 0: 2346}",,0.5076027872687737
Discriminative,balanced_accuracy,val,OneStop_RC,AhnRNN,unseen_subject_unseen_item,all,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",972,2,2,False,False,"{1: 780, 0: 192}","{1: 696, 0: 276}",,0.5210336538461539
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,0,1,[0],1080,2,1,False,True,"{1: 913, 0: 167}",{1: 1080},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,1,1,[1],971,2,1,False,True,"{1: 808, 0: 163}",{1: 971},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,2,1,[2],810,2,1,False,True,"{1: 668, 0: 142}",{1: 810},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,3,1,[3],810,2,1,False,True,"{1: 659, 0: 151}",{1: 810},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,4,1,[4],918,2,1,False,True,"{1: 697, 0: 221}",{1: 918},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,5,1,[5],702,2,1,False,True,"{1: 579, 0: 123}",{0: 702},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,6,1,[6],810,2,1,False,True,"{1: 646, 0: 164}",{1: 810},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,7,1,[7],702,2,1,False,True,"{1: 549, 0: 153}",{1: 702},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,8,1,[8],863,2,1,False,True,"{1: 655, 0: 208}",{0: 863},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,seen_subject_unseen_item,9,1,[9],1080,2,1,False,True,"{1: 936, 0: 144}",{0: 1080},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,0,1,[0],851,2,1,False,True,"{1: 713, 0: 138}",{1: 851},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,1,1,[1],864,2,1,False,True,"{1: 699, 0: 165}",{1: 864},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,2,1,[2],882,2,1,False,True,"{1: 716, 0: 166}",{1: 882},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,3,1,[3],882,2,1,False,True,"{1: 722, 0: 160}",{1: 882},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,4,1,[4],870,2,1,False,True,"{1: 700, 0: 170}",{1: 870},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,5,1,[5],893,2,1,False,True,"{1: 725, 0: 168}",{0: 893},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,6,1,[6],882,2,1,False,True,"{1: 702, 0: 180}",{1: 882},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,7,1,[7],894,2,1,False,True,"{1: 715, 0: 179}",{1: 894},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,8,1,[8],876,2,1,False,True,"{1: 706, 0: 170}",{0: 876},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_seen_item,9,1,[9],852,2,1,False,True,"{1: 712, 0: 140}",{0: 852},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_unseen_item,0,1,[0],120,2,1,False,True,"{1: 93, 0: 27}",{1: 120},,0.5
Discriminative,balanced_accuracy,test,OneStop_RC,AhnRNN,unseen_subject_unseen_item,1,1,[1],108,2,1,False,True,"{1: 94, 0: 14}",{1: 108},,0.5
